InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
31710071,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,2
31510207,4,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_S_x,x_S_R,x_S_x,x_S_x,1
31710039,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,x_x_x,x_S_x,x_S_x,x_S_x,2
s31610012,4,F_x_x,F_x_x,F_S_x,F_S_R,F_S_x,1,F_x_x,F_S_x,F_S_x,F_S_x,F_x_x,1,F_S_x,x_S_x,x_S_x,x_x_x,x_x_x,2
31610158,4,F_S_x,F_S_x,x_x_x,F_S_R,F_x_x,1,F_S_x,F_S_x,F_x_x,F_S_x,F_S_x,2,x_x_x,x_x_x,x_S_x,x_x_x,x_x_x,2
31710023,4,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,2
31610016,4,x_x_x,x_x_x,F_S_x,x_x_x,F_S_R,1,x_x_x,F_S_R,F_S_x,x_x_x,F_S_x,0,F_S_x,F_x_x,x_S_R,x_S_R,x_S_R,0
31410196,4,F_S_R,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_R,F_S_x,x_S_x,F_S_x,F_S_R,1,x_S_x,x_S_x,x_S_R,x_S_x,x_S_x,1
31710135,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_S_x,x_x_x,x_x_x,x_S_x,x_S_x,2
31410011,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_R,x_x_x,F_S_x,2,x_S_R,x_S_x,x_S_R,x_S_x,x_S_x,1
31610007,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,2
31210101,4,F_S_x,F_S_x,F_x_x,F_S_R,F_S_R,1,F_S_x,x_x_x,F_S_x,F_x_x,x_x_x,0,F_S_x,x_x_x,x_S_x,x_S_x,x_S_x,2
31410170,4,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,x_S_R,x_S_R,x_S_R,x_S_R,0
31610164,4,F_S_x,x_x_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_S_x,x_S_x,x_S_x,x_S_R,x_x_x,0
31710167,4,F_S_x,F_S_x,F_x_x,x_S_x,F_S_x,0,F_S_x,F_x_x,x_x_x,F_S_x,F_S_x,0,x_S_x,x_S_x,x_S_R,x_x_x,x_x_x,1
31510074,4,F_S_x,F_S_x,F_S_R,F_S_x,F_S_x,0,F_S_R,F_S_R,x_x_x,F_S_x,F_S_R,1,x_x_x,x_S_x,x_S_R,x_x_x,x_S_R,1
31610044,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_x_x,x_S_x,x_S_R,x_S_x,0
72,4,F_S_x,x_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,x_S_R,x_S_R,x_S_R,x_S_R,0
31710065,4,F_S_x,x_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_S_R,x_S_x,x_x_x,x_S_x,x_S_x,1
31710150,4,x_x_x,x_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,F_S_x,F_S_R,F_S_R,F_S_x,2,x_x_x,x_x_x,x_x_R,x_x_x,x_S_R,1
31710148,4,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,2,F_S_x,F_S_x,F_S_x,F_S_x,x_S_x,0,F_S_x,x_x_x,x_S_x,x_S_R,x_S_x,0
31510058,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_S_x,x_S_x,x_S_R,x_S_R,0
31710046,4,x_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_x,F_S_x,F_S_x,x_S_x,F_S_x,0,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,2
31710096,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_S_x,x_S_x,x_S_x,x_S_x,x_S_x,2
3161075,4,F_x_x,F_S_x,F_S_x,F_S_R,F_S_R,1,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,1,x_S_R,x_S_x,x_S_R,x_S_x,x_S_x,1
31610135,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,F_S_x,F_x_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,2
31710002,4,F_S_x,F_S_x,F_S_x,F_x_x,F_S_x,1,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,0,x_x_x,x_x_x,x_x_x,x_S_x,x_S_x,2
31610052,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_x,x_x_x,x_S_x,2
